unit_id,unit_name,level,move_type,defense_type,terrain_id,terrain_name,baseline_move_cost,baseline_defense,your_move_cost,your_defense,note
lich,リッチ,2,walk,walk,grassland,草原,1,40,,,
lich,リッチ,2,walk,walk,hills,丘,2,50,,,
lich,リッチ,2,walk,walk,mountains,岩場,不可,60,,,
lich,リッチ,2,walk,walk,forest,森,2,50,,,
lich,リッチ,2,walk,walk,village,補給拠点,1,60,,,
lich,リッチ,2,walk,walk,castle,陣地,1,60,,,
lich,リッチ,2,walk,walk,keep,フラッグ,1,60,,,
lich,リッチ,2,walk,walk,swamp,沼地,3,20,,,
lich,リッチ,2,walk,walk,shallow_water,浅瀬,3,20,,,
lich,リッチ,2,walk,walk,reef,岸,2,30,,,
lich,リッチ,2,walk,walk,deep_water,深水,不可,20,,,
lich,リッチ,2,walk,walk,tochka,トーチカ,2,50,,,
lich,リッチ,2,walk,walk,sand,砂地,2,30,,,
lich,リッチ,2,walk,walk,desert,砂丘,2,30,,,
lich,リッチ,2,walk,walk,cave,洞窟,2,40,,,
lich,リッチ,2,walk,walk,obstacle,障害物,不可,40,,,全ユニット進入不可のため調査対象外
lich,リッチ,2,walk,walk,void,場外,不可,40,,,全ユニット進入不可のため調査対象外
dark_sorcerer,黒魔術師,2,walk,walk,grassland,草原,1,40,,,
dark_sorcerer,黒魔術師,2,walk,walk,hills,丘,2,50,,,
dark_sorcerer,黒魔術師,2,walk,walk,mountains,岩場,不可,60,,,
dark_sorcerer,黒魔術師,2,walk,walk,forest,森,2,50,,,
dark_sorcerer,黒魔術師,2,walk,walk,village,補給拠点,1,60,,,
dark_sorcerer,黒魔術師,2,walk,walk,castle,陣地,1,60,,,
dark_sorcerer,黒魔術師,2,walk,walk,keep,フラッグ,1,60,,,
dark_sorcerer,黒魔術師,2,walk,walk,swamp,沼地,3,20,,,
dark_sorcerer,黒魔術師,2,walk,walk,shallow_water,浅瀬,3,20,,,
dark_sorcerer,黒魔術師,2,walk,walk,reef,岸,2,30,,,
dark_sorcerer,黒魔術師,2,walk,walk,deep_water,深水,不可,20,,,
dark_sorcerer,黒魔術師,2,walk,walk,tochka,トーチカ,2,50,,,
dark_sorcerer,黒魔術師,2,walk,walk,sand,砂地,2,30,,,
dark_sorcerer,黒魔術師,2,walk,walk,desert,砂丘,2,30,,,
dark_sorcerer,黒魔術師,2,walk,walk,cave,洞窟,2,40,,,
dark_sorcerer,黒魔術師,2,walk,walk,obstacle,障害物,不可,40,,,全ユニット進入不可のため調査対象外
dark_sorcerer,黒魔術師,2,walk,walk,void,場外,不可,40,,,全ユニット進入不可のため調査対象外
deathblade,ウォーリアー,2,walk,walk,grassland,草原,1,40,,,
