unit_id,unit_name,level,move_type,defense_type,terrain_id,terrain_name,baseline_move_cost,baseline_defense,your_move_cost,your_defense,note
orcish_nightblade,ナイトブレード,2,walk,lightfoot,grassland,草原,1,60,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,hills,丘,2,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,mountains,岩場,3,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,forest,森,2,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,village,補給拠点,1,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,castle,陣地,1,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,keep,フラッグ,1,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,swamp,沼地,2,40,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,shallow_water,浅瀬,2,40,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,reef,岸,2,50,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,deep_water,深水,不可,40,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,tochka,トーチカ,2,70,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,sand,砂地,2,40,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,desert,砂丘,2,40,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,cave,洞窟,2,50,-,-,
orcish_nightblade,ナイトブレード,2,walk,lightfoot,obstacle,障害物,不可,40,-,-,全ユニット進入不可のため調査対象外
orcish_nightblade,ナイトブレード,2,walk,lightfoot,void,場外,不可,40,-,-,全ユニット進入不可のため調査対象外
orcish_warrior,戦士,2,walk,walk,grassland,草原,1,40,-,-,
orcish_warrior,戦士,2,walk,walk,hills,丘,2,50,-,-,
orcish_warrior,戦士,2,walk,walk,mountains,岩場,不可,60,2,60,
orcish_warrior,戦士,2,walk,walk,forest,森,2,50,-,-,
orcish_warrior,戦士,2,walk,walk,village,補給拠点,1,60,-,-,
orcish_warrior,戦士,2,walk,walk,castle,陣地,1,60,-,-,
orcish_warrior,戦士,2,walk,walk,keep,フラッグ,1,60,-,-,
orcish_warrior,戦士,2,walk,walk,swamp,沼地,3,20,-,30,
orcish_warrior,戦士,2,walk,walk,shallow_water,浅瀬,3,20,-,-,
orcish_warrior,戦士,2,walk,walk,reef,岸,2,30,-,-,
orcish_warrior,戦士,2,walk,walk,deep_water,深水,不可,20,-,-,
orcish_warrior,戦士,2,walk,walk,tochka,トーチカ,2,50,-,-,
orcish_warrior,戦士,2,walk,walk,sand,砂地,2,30,-,-,
orcish_warrior,戦士,2,walk,walk,desert,砂丘,2,30,-,-,
orcish_warrior,戦士,2,walk,walk,cave,洞窟,2,40,-,-,
orcish_warrior,戦士,2,walk,walk,obstacle,障害物,不可,40,-,-,全ユニット進入不可のため調査対象外
orcish_warrior,戦士,2,walk,walk,void,場外,不可,40,-,-,全ユニット進入不可のため調査対象外
orcish_crossbow,弓兵,2,walk,walk,grassland,草原,1,40,-,-,
orcish_crossbow,弓兵,2,walk,walk,hills,丘,2,50,-,-,
